37,144,36,0
43,0,40,144
54,33,54,0
60,0,59,103
94,55,184,0
193,2,108,55
280,7,243,1
259,0,281,3
198,6,220,7
236,8,231,15
184,10,194,11
219,12,198,10
251,9,307,27
289,12,302,12
313,10,326,23
194,15,181,13
306,31,249,16
303,14,291,17
316,18,311,12
310,21,320,20
495,23,499,20
325,27,310,23
463,58,495,23
339,26,358,42
498,33,484,44
53,97,53,33
359,51,339,32
202,41,266,38
297,37,306,38
151,45,161,38
174,44,186,39
163,41,152,48
267,43,203,49
186,41,176,47
358,43,395,83
256,54,297,44
486,44,484,55
297,46,319,50
340,47,355,53
143,70,171,48
299,50,273,53
350,56,340,48
222,52,233,51
314,56,332,53
480,49,444,130
319,54,276,62
353,54,358,52
174,51,145,74
234,53,225,56
276,55,255,60
358,54,359,51
276,57,298,54
415,112,352,49
463,62,468,53
142,58,151,55
78,70,95,57
107,55,78,83
330,57,351,60
301,69,315,59
327,58,301,71
330,66,324,62
351,61,336,70
337,67,330,62
436,134,463,61
99,78,116,66
118,68,102,81
233,73,277,71
60,104,79,70
271,86,300,72
277,75,233,79
302,75,274,91
312,83,330,73
333,76,315,89
362,82,373,79
374,79,372,90
395,82,416,96
81,83,68,104
371,89,361,83
138,92,162,91
424,91,440,91
193,97,239,93
441,93,432,94
163,96,138,95
240,94,201,108
362,107,374,93
376,95,365,109
41,198,55,97
411,98,436,130
209,101,192,98
64,102,50,180
200,110,208,102
370,114,380,111
144,121,161,113
380,112,375,121
163,115,148,127
413,129,413,113
220,121,240,115
375,123,371,115
241,118,223,124
146,135,186,119
401,124,408,120
431,131,422,121
376,122,383,127
187,123,170,137
107,130,124,124
417,122,425,132
125,126,111,134
409,128,401,125
429,140,415,127
273,141,322,128
322,131,275,146
397,137,391,128
450,129,445,156
428,129,434,158
130,141,144,132
169,134,131,142
445,141,440,134
217,172,243,141
428,159,425,141
441,156,443,141
247,145,220,177
384,169,395,146
396,147,394,161
438,163,451,159
292,163,307,161
389,160,392,173
446,161,451,179
185,167,196,162
269,178,284,163
318,164,349,169
415,170,419,162
420,163,420,173
446,180,439,162
284,165,287,173
138,176,159,165
307,166,294,170
193,168,186,168
325,171,316,166
161,169,140,179
193,176,215,168
217,173,195,180
239,195,321,170
286,172,271,179
348,172,308,178
311,181,358,177
359,175,406,190
90,187,97,175
164,178,188,178
99,177,92,190
174,181,164,181
51,180,52,193
166,187,197,185
197,184,239,192
440,184,453,185
144,182,145,189
146,185,166,185
101,191,143,185
373,185,297,188
400,195,373,186
63,211,75,184
451,184,448,201
296,188,272,193
447,201,442,185
77,187,69,216
85,205,102,190
166,192,134,193
223,196,166,192
133,191,89,205
365,191,377,199
412,200,406,190
51,193,52,231
253,199,225,199
44,230,44,199
445,222,447,204
450,204,450,223
90,260,85,205
91,208,92,233
71,216,64,210
78,238,81,220
84,222,77,253
415,232,420,222
422,225,421,245
444,233,440,225
64,247,71,228
70,230,75,243
41,232,46,232
52,231,56,244
416,243,417,232
52,278,45,233
33,465,34,235
40,235,38,465
58,242,59,281
424,243,433,258
77,254,65,246
428,261,421,246
82,254,74,282
412,253,413,271
66,278,77,255
435,257,446,266
439,270,434,260
434,268,443,285
434,287,430,269
89,275,91,273
86,308,81,276
89,276,95,296
49,468,54,276
420,299,420,276
424,277,425,298
60,281,66,288
444,282,433,306
69,286,64,306
424,310,433,287
63,297,57,293
58,295,56,533
95,296,98,309
62,309,62,298
434,306,417,369
66,307,85,362
79,368,61,310
72,308,97,332
412,365,425,311
93,337,69,314
85,362,93,341
95,341,92,374
93,373,79,368
0,437,3,444
62,450,83,440
6,442,0,449
81,452,72,447
73,449,80,455
70,469,63,452
0,462,9,458
10,460,5,472
51,532,51,468
167,479,203,526
152,486,150,476
149,478,168,492
169,492,166,478
330,487,345,481
382,482,393,482
33,523,33,480
37,482,36,523
348,485,309,526
392,490,383,483
194,528,153,488
284,535,334,490
375,496,384,495
378,525,369,497
379,498,383,518
128,503,119,547
113,511,124,507
76,530,112,509
386,515,402,519
116,514,43,556
113,543,118,516
402,519,411,528
370,518,376,548
399,526,381,521
205,522,221,532
410,524,498,530
308,524,284,536
499,593,398,527
236,540,195,527
369,559,367,525
232,534,277,530
383,526,403,540
-1,553,49,528
57,531,76,531
221,531,232,531
499,538,415,529
399,546,382,530
59,532,0,559
277,535,236,539
414,534,444,544
20,573,62,536
83,557,111,539
407,541,390,599
117,542,93,556
443,547,500,586
382,599,399,546
375,548,371,560
98,562,110,551
116,550,100,570
44,558,25,577
92,557,88,598
82,598,85,558
116,577,121,559
95,598,96,562
122,562,118,592
100,570,101,598
6,599,21,576
114,592,117,578
24,578,14,599
