(114,204)
(119,200)
(119,201)
(124,202)
(125,201)
(135,200)
(135,201)
(148,202)
(148,202)
(156,203)
(190,201)
(196,204)
(404,204)
(405,200)
(156,203)
(159,201)
(157,202)
(160,203)
(161,203)
(163,202)
(110,206)
(115,205)
(134,205)
(120,206)
(142,205)
(134,205)
(164,210)
(143,205)
(186,204)
(183,204)
(407,213)
(404,204)
(103,212)
(111,206)
(120,206)
(107,217)
(188,207)
(185,205)
(173,209)
(164,210)
(106,217)
(101,222)
(329,219)
(340,219)
(317,222)
(326,220)
(337,221)
(326,223)
(311,226)
(317,223)
(325,223)
(317,226)
(305,231)
(308,226)
(317,226)
(313,230)
(328,231)
(331,229)
(336,231)
(342,228)
(342,229)
(350,230)
(348,229)
(351,229)
(318,233)
(325,229)
(350,231)
(354,233)
(177,231)
(183,233)
(271,236)
(280,231)
(300,233)
(302,233)
(333,232)
(322,234)
(183,234)
(187,235)
(219,233)
(228,238)
(312,237)
(319,233)
(353,232)
(363,239)
(180,235)
(170,233)
(351,236)
(336,235)
(187,235)
(194,241)
(142,239)
(150,237)
(150,237)
(158,238)
(161,235)
(165,237)
(165,237)
(186,247)
(193,242)
(181,235)
(369,248)
(350,237)
(309,240)
(313,237)
(322,237)
(316,239)
(340,242)
(343,238)
(343,237)
(345,243)
(133,244)
(144,239)
(264,247)
(270,238)
(363,239)
(371,244)
(152,241)
(146,242)
(197,239)
(202,247)
(299,249)
(308,240)
(155,245)
(151,242)
(160,242)
(155,243)
(170,244)
(163,241)
(146,241)
(145,248)
(341,251)
(341,241)
(123,254)
(133,244)
(315,243)
(320,249)
(317,251)
(312,243)
(345,243)
(342,251)
(348,250)
(353,245)
(354,243)
(355,247)
(138,245)
(128,254)
(235,244)
(238,250)
(174,246)
(170,245)
(181,249)
(174,247)
(270,245)
(266,248)
(310,245)
(302,250)
(372,246)
(369,248)
(131,256)
(143,246)
(186,248)
(188,250)
(156,252)
(159,248)
(235,251)
(235,247)
(355,247)
(356,254)
(146,247)
(139,254)
(188,254)
(181,249)
(189,250)
(196,254)
(268,248)
(269,248)
(320,249)
(323,252)
(146,250)
(149,252)
(163,249)
(161,254)
(267,249)
(267,254)
(344,252)
(347,251)
(150,251)
(152,259)
(177,250)
(177,258)
(234,253)
(232,250)
(273,254)
(275,250)
(291,254)
(296,251)
(296,253)
(309,254)
(329,253)
(335,253)
(336,252)
(340,252)
(343,251)
(344,253)
(149,260)
(146,251)
(236,255)
(236,252)
(310,254)
(318,253)
(341,253)
(343,253)
(345,253)
(350,251)
(353,252)
(352,254)
(193,256)
(188,254)
(196,254)
(199,257)
(139,255)
(134,257)
(354,255)
(349,257)
(359,254)
(353,256)
(124,264)
(124,255)
(172,258)
(173,254)
(237,262)
(234,254)
(329,255)
(310,259)
(200,258)
(203,257)
(304,259)
(290,256)
(333,257)
(329,256)
(349,257)
(346,260)
(134,257)
(127,265)
(239,257)
(241,262)
(264,266)
(263,257)
(310,258)
(304,258)
(141,258)
(142,261)
(166,262)
(171,258)
(182,260)
(196,259)
(266,257)
(268,267)
(345,259)
(340,259)
(138,265)
(138,259)
(174,259)
(181,261)
(156,263)
(159,260)
(159,260)
(161,263)
(162,263)
(164,261)
(207,261)
(197,264)
(164,263)
(167,263)
(196,264)
(175,265)
(277,264)
(284,275)
(311,264)
(315,268)
(166,266)
(162,267)
(175,266)
(165,266)
(162,267)
(157,269)
(267,272)
(264,266)
(153,270)
(146,270)
(156,269)
(152,271)
(315,269)
(326,271)
(148,271)
(139,269)
(271,279)
(268,272)
(270,272)
(274,275)
(402,277)
(408,274)
(273,276)
(277,276)
(277,279)
(279,277)
(291,276)
(295,284)
(408,276)
(404,280)
(278,283)
(274,279)
(287,281)
(281,287)
(294,291)
(292,281)
(100,287)
(103,290)
(102,291)
(104,300)
(102,300)
(101,292)
(400,304)
(408,298)
(230,313)
(236,320)
(235,322)
(228,315)
(294,322)
(297,325)
(406,330)
(408,325)
(292,332)
(289,326)
(297,327)
(300,331)
(223,331)
(227,329)
(227,331)
(231,331)
(300,332)
(305,331)
(407,348)
(407,330)
(218,338)
(221,332)
(229,343)
(225,335)
(224,336)
(220,340)
(305,336)
(306,338)
(213,344)
(217,338)
(112,340)
(117,349)
(220,341)
(219,343)
(112,348)
(110,342)
(209,351)
(212,343)
(102,349)
(102,345)
(104,348)
(109,368)
(404,361)
(407,349)
(100,350)
(102,350)
(116,350)
(120,354)
(115,354)
(111,350)
(100,352)
(102,352)
(106,368)
(101,353)
(285,360)
(288,356)
(274,369)
(283,361)
(248,365)
(237,361)
(252,362)
(256,364)
(290,362)
(285,366)
(404,370)
(405,362)
(297,363)
(293,371)
